época,bce_unweighted,binary_accuracy,loss,precision,recall,val_bce_unweighted,val_binary_accuracy,val_loss,val_precision,val_recall
1,0.6039561033248901,0.6805771589279175,0.6035212874412537,0.1561533808708191,0.6714047193527222,0.5635368227958679,0.7110586166381836,0.5635368227958679,0.1671288013458252,0.6474221348762512
2,0.5898592472076416,0.6880426406860352,0.5884690880775452,0.1618981659412384,0.685791552066803,0.5611292719841003,0.7129880785942078,0.5611292719841003,0.1699160486459732,0.657626211643219
3,0.5846409201622009,0.6918845772743225,0.5826485753059387,0.16504482924938202,0.6939632892608643,0.5574623942375183,0.7138335704803467,0.5574623942375183,0.1702394187450409,0.6568205952644348
4,0.5800370573997498,0.6953362822532654,0.5775495171546936,0.16749441623687744,0.6986821889877319,0.5559853911399841,0.7165651321411133,0.5559853911399841,0.17040327191352844,0.6490333080291748
5,0.5760524272918701,0.698662519454956,0.5726081132888794,0.16991965472698212,0.7034010291099548,0.5532404184341431,0.7157629728317261,0.5532404184341431,0.1694951057434082,0.6463479995727539
6,0.5719314217567444,0.7014870643615723,0.5678251385688782,0.17212197184562683,0.7081199288368225,0.5522275567054749,0.7178008556365967,0.5522275567054749,0.16907627880573273,0.6374865770339966
7,0.5681259632110596,0.7044556140899658,0.5629886388778687,0.17470277845859528,0.7145652174949646,0.5495094060897827,0.717388927936554,0.5495094060897827,0.16823428869247437,0.6339957118034363
8,0.564111053943634,0.7072336673736572,0.5586251616477966,0.1769186109304428,0.719169020652771,0.5535734295845032,0.7170854210853577,0.5535734295845032,0.1677355021238327,0.6321160197257996
9,0.560968816280365,0.709547221660614,0.554287314414978,0.1785871982574463,0.7217586636543274,0.5498144030570984,0.717757523059845,0.5498144030570984,0.16767965257167816,0.6296992301940918
10,0.5573094487190247,0.7115912437438965,0.5502377152442932,0.18019886314868927,0.7248086333274841,0.55351322889328,0.7164133787155151,0.55351322889328,0.16632194817066193,0.6262083649635315
11,0.554639995098114,0.7137607336044312,0.5463278293609619,0.1822713166475296,0.7302181124687195,0.5508115887641907,0.7167385816574097,0.5508115887641907,0.16673801839351654,0.6275510191917419
12,0.5512757897377014,0.7160184979438782,0.542766273021698,0.18405546247959137,0.7333831787109375,0.5552117824554443,0.7159581184387207,0.5552117824554443,0.1650235801935196,0.6203007698059082
13,0.5490631461143494,0.7180532813072205,0.5392623543739319,0.1858208030462265,0.7371237874031067,0.5545988082885742,0.7145273089408875,0.5545988082885742,0.16467830538749695,0.6227174997329712
14,0.5459795594215393,0.7197210788726807,0.5359958410263062,0.18748636543750763,0.7414973974227905,0.5599515438079834,0.7131398320198059,0.5599515438079834,0.16293250024318695,0.617078423500061
15,0.5439744591712952,0.7214956879615784,0.5328100323677063,0.18904389441013336,0.7447200417518616,0.5591322779655457,0.7115355134010315,0.5591322779655457,0.16236786544322968,0.6186895966529846
16,0.5425447225570679,0.7222808003425598,0.5300776958465576,0.1901470273733139,0.7487483620643616,0.5629248023033142,0.711925745010376,0.5629248023033142,0.16171477735042572,0.6138560771942139
17,0.5395721793174744,0.7245525121688843,0.5269455313682556,0.19192379713058472,0.751338005065918,0.5614612698554993,0.7118390798568726,0.5614612698554993,0.1609496772289276,0.6098281145095825
